receiverx,receivery,receivers,receivera,receiverdis,receivero,receiverdir,distance_to_nearest_def,defenderx,defendery,defenders,defendera,defenderdis,defendero,defenderdir,defenders_in_path,pass_length,yards_to_go,yardline_num,yards_gained
101.28,12.94,1.62,2.54,0.16,1.9,340.32,9.081189349418944,92.22,13.56,4.1,4.55,0.39,95.29,97.49,10,0.0,17,9,8
82.57,25.99,1.44,4.53,0.13,306.55,32.38,5.258003423353774,77.32,26.28,2.87,0.18,0.3,348.13,154.51,4,3.0,10,31,10
117.61,14.68,0.68,0.68,0.07,306.35,195.59,1.1892854997854791,116.81,15.56,3.43,2.2,0.33,227.98,339.68,3,13.0,5,13,0
71.89,48.4,6.7,2.19,0.68,335.29,11.17,2.828462479864282,72.98,45.79,7.1,1.17,0.71,335.34,2.58,0,20.0,10,42,3
32.27,14.09,5.61,1.3,0.57,249.18,153.68,12.254178879059994,26.07,24.66,3.8,1.31,0.38,172.78,151.41,3,3.0,16,19,10
95.02,33.39,6.02,2.26,0.61,267.91,353.9,3.464823227814082,94.53,29.96,2.88,4.4,0.29,55.8,44.25,1,-8.0,10,23,17
61.32,17.68,6.78,2.26,0.69,93.61,182.96,8.396773189743787,54.15,22.05,5.54,3.66,0.54,139.52,173.27,2,5.0,10,44,2
42.03,20.57,5.19,0.46,0.52,28.67,333.16,3.6516434656192813,40.6,17.21,4.95,3.68,0.48,5.14,342.06,8,6.0,10,38,5
19.29,28.37,7.02,2.93,0.69,6.44,350.37,2.117404071026594,17.44,27.34,6.64,2.3,0.65,16.62,8.99,4,5.0,10,15,7
1.69,33.3,6.94,0.79,0.7,206.39,240.92,3.271849629796577,4.96,33.19,6.61,1.1,0.65,241.7,246.7,1,3.0,3,3,0
28.57,16.26,6.14,3.4,0.62,87.32,151.1,9.180789726379752,32.32,24.64,4.56,2.78,0.47,203.12,194.87,3,-8.0,10,27,12
45.36,15.83,1.03,0.32,0.11,330.62,88.73,4.591666364186318,44.61,11.3,3.08,5.35,0.29,20.47,24.97,2,4.0,6,31,5
50.22,34.0,6.21,2.87,0.62,310.78,357.37,5.651061847122189,55.59,35.76,5.55,4.78,0.54,288.84,311.85,2,0.0,10,40,2
88.46,36.75,1.33,2.64,0.12,166.07,123.36,0.9726767191621252,87.52,37.0,3.76,3.1,0.38,110.2,88.63,7,4.0,10,18,0
30.62,23.96,3.36,2.57,0.33,284.68,36.45,2.5221022976873892,28.73,22.29,3.49,1.17,0.36,349.72,42.63,5,1.0,10,20,3
31.97,22.32,2.26,0.83,0.23,307.11,78.89,7.865907449239406,24.12,21.82,1.65,2.18,0.16,54.63,153.83,8,1.0,19,21,12
34.05,38.02,6.48,2.97,0.66,107.5,249.15,1.0149384217773985,34.15,39.03,7.85,3.66,0.8,196.74,238.98,0,39.0,6,40,1
30.99,14.8,3.9,3.6,0.4,340.02,359.93,2.564624728883349,29.01,13.17,2.89,1.46,0.29,0.52,32.95,9,-1.0,10,20,6
12.04,1.34,8.38,3.1,0.84,311.52,245.64,4.265172915603775,8.95,4.28,9.06,1.56,0.91,158.89,181.94,1,14.0,5,15,1
67.71,41.15,9.13,1.47,0.92,24.29,353.81,0.8280700453463982,67.15,40.54,9.48,1.02,0.96,3.16,3.12,0,16.0,10,27,2
30.11,20.53,6.19,0.84,0.62,250.06,161.36,2.3535717537394087,32.18,21.65,8.27,1.16,0.84,191.98,189.98,2,1.0,10,20,0
40.53,7.2,6.29,0.7,0.63,242.98,174.91,1.5864425612041555,41.85,8.08,6.38,4.32,0.63,210.0,181.6,1,9.0,9,21,2
47.09,30.0,7.05,1.1,0.71,330.3,18.99,6.850182479321257,53.94,30.05,5.32,2.7,0.52,315.67,339.85,4,3.0,8,34,4
60.37,42.77,9.26,4.03,0.94,350.57,351.2,2.173315439599141,60.49,40.6,9.52,3.16,0.96,342.39,338.43,0,34.0,10,16,1
32.63,49.45,5.85,3.54,0.6,168.93,308.17,4.3875391736142975,29.32,46.57,8.7,0.81,0.86,36.8,11.35,1,26.0,9,48,1
11.32,20.73,6.92,1.48,0.7,0.09,308.58,2.280350850198275,13.44,19.89,7.85,0.84,0.79,316.06,307.68,4,19.0,9,20,1
89.2,12.18,5.18,3.07,0.53,299.23,153.88,9.969804411321219,82.53,19.59,4.49,4.46,0.44,158.85,171.76,1,2.0,15,22,20
94.55,39.42,4.17,2.29,0.42,168.2,169.71,2.8829498781629868,92.2,41.09,3.38,1.26,0.34,156.32,124.66,8,-2.0,10,17,10
48.45,45.87,7.58,2.03,0.76,343.19,9.14,2.1153959440256083,50.35,44.94,7.83,0.59,0.78,343.85,351.95,0,5.0,10,33,4
51.23,41.98,3.65,2.45,0.38,264.25,357.85,2.1957231155134256,52.87,40.52,5.47,3.38,0.53,335.42,349.38,0,1.0,3,40,16
96.24,49.51,5.95,2.17,0.6,276.94,30.36,1.8488915598271316,95.74,47.73,6.14,2.71,0.62,354.0,10.67,1,9.0,10,22,1
102.59,36.91,7.07,1.37,0.7,168.38,152.58,5.908138454708039,108.49,36.6,4.08,4.48,0.39,253.4,215.98,9,4.0,10,12,7
55.89,25.81,6.49,1.28,0.65,162.48,203.53,0.9732420048477161,56.85,25.97,7.42,1.75,0.74,252.94,198.1,2,17.0,2,38,1
50.37,11.49,5.5,2.4,0.54,149.41,182.95,4.83389077245235,47.1,15.05,4.46,4.09,0.43,145.92,177.36,1,4.0,10,44,4
32.92,41.36,6.47,1.86,0.65,201.61,256.31,2.827808338625516,35.74,41.15,6.07,1.61,0.6,238.41,264.92,4,15.0,2,36,10
9.8,3.0,7.42,1.59,0.75,126.02,185.31,1.7314156057977532,9.87,4.73,8.5,0.71,0.85,169.93,180.32,0,11.0,10,11,0
35.53,27.26,1.4,1.0,0.15,202.19,69.0,8.229823813423955,29.39,21.78,0.61,2.51,0.05,350.87,110.13,6,1.0,10,24,8
50.46,16.22,3.07,3.47,0.32,292.12,192.24,3.261058110491135,53.7,15.85,5.38,3.32,0.52,255.2,244.5,1,3.0,10,37,6
63.07,35.74,0.38,3.35,0.02,235.16,226.18,2.146741717114569,64.01,33.81,5.04,3.06,0.5,311.32,336.54,9,7.0,1,46,0
82.8,29.67,2.36,0.51,0.24,211.25,129.27,5.8407191338053535,77.56,27.09,3.32,1.13,0.33,71.43,77.26,6,2.0,10,29,2
87.86,39.83,2.26,2.21,0.24,183.83,74.41,9.73801314437396,93.86,32.16,4.4,3.12,0.42,310.4,341.79,5,3.0,6,25,9
100.2,16.22,1.86,3.13,0.2,301.7,21.11,3.361086133975148,101.45,19.34,4.44,4.13,0.44,227.6,219.05,10,3.0,10,13,3
114.68,23.14,4.8,1.08,0.49,273.38,57.61,0.6963476143421546,114.11,22.74,5.34,1.33,0.53,33.06,43.5,1,1.0,1,1,0
46.75,36.38,5.84,2.97,0.6,309.45,358.56,6.366239078137103,52.98,37.69,5.36,3.82,0.53,295.13,336.3,2,3.0,10,33,3
65.85,38.81,2.87,1.53,0.29,185.76,192.85,4.66081537930864,61.21,38.37,1.97,2.73,0.21,100.26,84.4,10,-2.0,8,46,6
50.72,30.06,6.1,2.0,0.62,168.08,206.11,0.8796590248499713,50.85,30.93,7.01,1.96,0.69,194.28,202.17,3,10.0,4,50,0
55.72,48.2,3.66,2.79,0.35,326.05,351.23,0.7305477397131604,55.96,47.51,2.91,3.05,0.28,346.56,335.29,0,12.0,8,34,0
59.12,29.67,1.61,3.26,0.16,246.22,79.35,3.881043674065007,62.72,31.12,0.5,4.16,0.03,249.23,233.08,6,3.0,10,46,2
62.78,6.05,2.47,2.23,0.24,313.67,230.62,2.144411341137706,64.87,6.53,6.19,1.33,0.61,236.84,252.37,0,2.0,5,49,0
63.25,13.16,8.5,2.3,0.86,234.23,174.73,1.7489711261195822,63.83,14.81,5.89,1.61,0.61,219.5,188.4,1,1.0,3,47,7
78.02,39.47,1.24,1.4,0.11,238.73,265.5,2.1204244858046697,80.13,39.26,4.09,3.91,0.39,288.58,283.79,2,8.0,11,40,2
90.74,23.89,3.77,1.07,0.37,12.12,159.66,4.6422085261220225,91.84,28.4,2.35,1.95,0.24,208.27,161.5,3,-1.0,12,18,9
104.08,30.27,6.24,2.19,0.63,193.96,133.62,2.8958763785769635,106.23,32.21,5.61,2.93,0.55,189.78,167.09,5,5.0,4,10,5
73.3,21.43,7.89,1.56,0.79,169.33,187.35,4.178348956226612,69.99,23.98,7.86,0.51,0.78,165.78,184.46,3,2.0,13,35,6
77.55,14.87,5.64,2.31,0.57,61.27,198.19,4.58655644247402,73.34,13.05,5.06,5.23,0.51,49.53,141.2,2,12.0,10,21,1
69.02,18.24,0.96,1.29,0.1,31.87,307.43,3.4351273629954338,65.67,19.0,3.89,4.11,0.37,62.05,104.0,5,5.0,8,36,1
53.49,7.34,7.32,3.22,0.75,83.09,216.64,4.7205508153180595,53.05,12.04,8.45,2.85,0.85,198.66,192.02,2,20.0,20,37,6
34.74,28.52,1.25,1.12,0.13,284.26,79.32,3.7309650226181374,37.98,26.67,2.69,4.72,0.25,285.5,313.04,5,8.0,15,17,1
88.38,34.55,4.83,1.14,0.48,29.5,358.92,4.172529209005013,92.52,34.03,2.51,3.33,0.27,100.49,70.81,2,-4.0,10,25,18
65.56,46.23,4.65,2.71,0.47,136.18,354.62,4.337211085478783,61.23,46.48,4.85,3.2,0.48,48.61,24.44,1,5.0,10,39,3
55.52,33.14,8.25,0.85,0.83,42.92,354.08,2.2770595073471416,53.89,31.55,9.1,0.44,0.91,6.81,356.36,2,3.0,8,48,5
50.7,10.6,5.39,1.65,0.55,43.59,188.48,5.86805760026263,44.85,11.06,5.82,0.52,0.58,112.04,145.46,0,1.0,11,41,6
34.17,11.19,5.8,1.45,0.59,233.42,153.04,7.2888956639534905,38.93,16.71,5.69,3.13,0.59,200.98,182.41,1,0.0,10,25,5
50.59,17.91,5.38,2.81,0.54,225.69,30.37,3.720026881623303,53.84,19.72,4.09,2.58,0.39,271.85,281.19,5,11.0,5,30,1
49.13,18.93,4.41,2.77,0.45,251.6,16.32,1.7341568556506037,50.41,20.1,4.92,1.57,0.49,245.8,276.23,7,10.0,23,29,0
50.63,7.22,3.52,2.67,0.36,329.57,158.66,6.606035119494899,56.89,9.33,4.72,3.74,0.46,235.48,210.74,1,2.0,13,39,4
80.93,49.69,6.63,1.26,0.67,91.19,8.59,2.57939915484208,78.36,49.47,7.25,2.04,0.72,31.87,38.74,0,5.0,11,24,0
79.48,39.73,5.66,1.47,0.56,73.97,353.06,2.317002373757952,77.95,37.99,5.9,3.38,0.57,21.72,357.36,0,2.0,6,29,9
70.16,40.64,5.47,0.83,0.56,36.01,338.45,8.840814442120138,70.28,31.8,0.88,3.44,0.08,26.98,307.39,2,-1.0,8,42,11
30.38,44.15,5.2,2.84,0.53,187.68,25.96,6.567564236457836,36.93,43.67,6.14,2.12,0.61,289.29,319.46,1,1.0,10,20,8
47.36,16.74,5.41,2.93,0.54,335.94,22.45,1.8976301009416996,48.77,15.47,6.68,2.83,0.67,356.79,355.58,10,4.0,10,34,3
100.01,41.73,8.36,1.28,0.84,27.39,351.63,4.229066090758098,99.1,37.6,8.31,1.89,0.82,344.17,338.54,0,2.0,10,8,10
84.85,9.83,6.76,3.15,0.67,169.31,180.87,4.036359746107862,81.54,12.14,7.05,2.46,0.69,157.93,166.56,1,5.0,10,20,5
77.79,19.34,2.92,3.09,0.28,2.29,153.83,2.6220602586515858,76.83,21.78,2.76,2.22,0.28,121.02,127.89,1,-6.0,2,38,18
55.22,20.81,6.07,2.57,0.6,27.52,343.49,3.716517186829624,54.12,17.26,4.59,4.22,0.44,355.84,332.79,5,5.0,10,50,16
11.16,47.57,9.7,1.84,0.98,10.8,334.95,2.416298822579694,12.64,45.66,9.14,2.84,0.92,347.79,356.21,0,4.0,1,5,1
61.38,17.28,2.87,3.79,0.29,121.88,207.42,1.89391129676128,61.08,19.15,5.23,1.76,0.51,177.39,180.31,2,4.0,10,44,4
20.78,3.16,4.49,3.12,0.48,71.79,236.35,0.7003570517957246,20.9,3.85,3.75,3.88,0.4,57.24,244.06,0,20.0,14,31,3
26.22,11.96,1.01,1.84,0.11,25.76,211.57,7.51013315461184,18.72,11.57,1.43,5.75,0.11,71.86,120.85,1,6.0,22,22,3
25.57,24.11,2.55,2.2,0.27,243.1,142.56,2.9209929818470983,27.78,26.02,5.06,3.84,0.49,230.68,206.85,4,4.0,11,12,1
29.52,14.23,1.46,1.72,0.12,292.37,202.45,2.057984450864486,31.0,15.66,4.87,2.71,0.49,225.18,213.44,2,3.0,6,17,0
64.32,24.56,6.76,1.95,0.69,111.4,335.27,1.3179529581893261,64.05,23.27,7.63,1.2,0.77,9.56,349.87,4,13.0,10,33,4
28.52,38.38,6.82,2.19,0.69,199.16,283.07,2.53899586451022,31.04,38.07,8.98,1.02,0.9,273.11,280.52,1,33.0,10,50,6
81.71,6.64,0.58,2.51,0.07,12.44,250.7,5.2642188404358645,76.67,8.16,4.62,4.87,0.44,101.34,112.7,2,3.0,10,25,-1
63.55,42.31,6.95,1.15,0.7,251.69,324.95,7.71064848115902,55.84,42.21,5.63,2.39,0.57,57.85,35.46,2,0.0,10,47,7
45.49,38.77,1.11,0.92,0.1,132.87,186.65,3.230975085016905,44.15,41.71,5.51,1.69,0.54,155.58,155.29,8,10.0,3,46,3
34.51,34.37,6.43,1.55,0.64,267.59,355.47,5.083187976063838,29.43,34.55,4.5,3.39,0.44,77.86,9.03,1,-7.0,10,17,7
27.6,51.3,6.09,1.58,0.61,237.56,305.68,7.344120097057237,21.75,46.86,5.44,3.76,0.54,57.62,0.94,2,-2.0,10,17,7
56.55,0.77,3.94,3.33,0.41,277.36,114.32,4.7323567067582735,58.39,5.13,8.14,1.63,0.81,177.98,178.8,0,23.0,10,25,0
56.08,34.31,0.82,4.27,0.07,156.2,48.16,5.616582590864308,56.72,28.73,2.99,2.34,0.3,251.48,280.36,4,-3.0,9,49,6
73.78,26.87,6.21,2.94,0.63,326.82,17.4,1.5362942426501507,74.39,25.46,6.18,4.03,0.61,332.83,18.41,3,13.0,6,48,0
78.78,43.92,6.47,1.5,0.66,286.28,359.86,5.4214758138351895,83.96,42.32,6.02,2.64,0.6,317.22,353.79,0,2.0,9,34,6
65.28,49.16,8.16,2.0,0.83,201.25,293.14,4.6706423541093365,69.18,46.59,7.56,0.88,0.75,280.55,284.81,1,17.0,4,29,24
30.48,35.73,5.78,2.82,0.57,262.06,342.95,3.957903485432657,28.31,32.42,3.56,3.02,0.39,37.36,45.75,3,-5.0,8,15,12
17.2,36.19,4.48,1.36,0.45,243.38,6.4,3.09743442222753,14.15,35.65,3.24,2.29,0.31,122.7,57.74,3,-2.0,9,10,5
57.9,35.97,0.49,4.16,0.04,113.58,131.45,1.709415104648368,56.6,37.08,2.96,2.93,0.29,130.84,104.27,5,2.0,10,50,0
61.93,36.37,6.11,0.47,0.61,172.38,199.52,2.4461602564018565,59.99,37.86,6.6,2.8,0.65,148.29,178.42,10,1.0,12,48,2
30.05,15.95,2.21,2.77,0.22,290.23,328.85,1.096585609973066,31.01,15.42,4.61,3.58,0.45,280.3,316.96,8,13.0,10,7,0
30.05,12.55,1.17,3.82,0.12,307.03,7.97,2.9743570733857774,32.63,14.03,3.93,3.9,0.38,268.03,228.6,10,4.0,14,16,0
44.04,38.01,3.48,3.05,0.34,209.72,231.37,1.7181676286090364,45.65,38.61,6.05,3.36,0.59,256.44,242.98,8,8.0,5,25,0
99.63,42.99,6.02,0.76,0.59,45.71,352.62,3.1449324317065925,96.68,41.9,6.85,1.35,0.68,49.44,16.39,0,0.0,13,10,4
42.83,9.42,6.35,1.16,0.64,264.86,180.15,3.34970147923662,45.9,10.76,7.17,2.45,0.71,228.17,196.6,0,2.0,10,31,1
44.72,7.38,5.63,0.91,0.57,313.5,183.7,1.4389232085139236,45.96,8.11,4.15,3.21,0.4,252.77,199.97,0,0.0,7,34,2
49.36,20.22,4.47,2.58,0.46,258.95,164.18,2.7083020511013896,51.26,22.15,4.68,3.17,0.45,237.45,201.42,2,4.0,5,36,0
70.85,47.48,5.78,1.64,0.59,285.27,352.42,2.5056935167733623,73.29,46.91,7.52,2.76,0.75,295.5,319.07,0,5.0,10,45,1
41.08,34.57,7.53,2.54,0.76,347.53,12.14,2.2271281956816065,40.08,32.58,7.09,3.72,0.71,346.09,358.1,2,2.0,7,29,5
47.3,10.13,4.31,4.5,0.45,11.26,181.91,4.13261418475038,51.34,11.0,6.36,2.5,0.63,237.04,213.76,0,0.0,10,36,4
58.51,48.23,6.73,3.47,0.67,163.48,38.41,5.570718086566576,61.99,43.88,8.18,2.54,0.81,351.22,8.41,0,4.0,8,45,6
73.54,46.77,6.68,3.25,0.67,281.89,5.18,4.007193531637819,77.14,45.01,6.02,4.34,0.6,325.41,2.5,0,9.0,10,45,1
73.31,14.75,4.12,2.11,0.41,14.63,8.25,2.1784857125994628,74.58,12.98,3.34,1.11,0.34,338.1,330.0,10,0.0,11,36,7
73.64,53.67,3.25,1.52,0.33,90.29,48.35,2.529703539942973,73.01,51.22,4.98,1.7,0.5,31.45,358.33,2,11.0,10,25,0
65.77,26.82,6.04,1.62,0.61,109.73,191.32,3.3241540277189263,62.67,25.62,5.56,2.52,0.55,87.42,121.18,4,5.0,7,39,1
54.16,47.19,2.72,3.31,0.26,207.41,291.52,9.995488982536067,44.49,44.66,3.8,4.86,0.35,75.32,29.17,3,-1.0,10,43,9
74.55,21.69,7.26,3.09,0.73,142.82,200.12,4.473712105176193,76.34,25.79,7.18,2.43,0.71,182.14,197.75,4,11.0,5,25,0
69.45,30.69,7.12,0.53,0.72,3.66,337.88,5.572297551279905,69.08,25.13,5.71,1.3,0.56,345.51,347.12,4,4.0,10,36,5
4.27,49.79,7.56,0.87,0.76,227.62,295.06,1.3797463535012502,5.21,48.78,7.11,0.51,0.71,306.08,299.97,0,28.0,5,28,0
43.3,30.4,7.78,0.8,0.77,2.46,6.4,4.747515139522987,38.6,31.07,0.45,2.87,0.05,100.67,180.42,4,-3.0,10,29,3
53.74,12.12,6.51,2.42,0.66,2.54,68.63,1.0149384217774002,53.84,11.11,5.85,2.12,0.6,59.82,23.01,3,20.0,15,25,2
67.62,20.14,5.28,2.81,0.53,323.38,29.5,1.5698407562552295,68.92,21.02,5.61,1.62,0.55,277.33,294.37,5,11.0,10,47,0
45.06,10.01,0.72,5.33,0.09,295.11,188.87,2.77722883464795,43.83,7.52,5.81,1.5,0.57,39.93,26.49,1,10.0,10,25,0
91.57,34.76,4.01,0.8,0.4,277.9,2.46,3.0865028754238995,92.41,31.79,5.7,1.18,0.56,331.37,344.8,2,6.0,10,23,4
102.91,3.99,6.4,1.19,0.64,234.21,178.81,1.605147968257139,104.04,5.13,6.86,1.42,0.68,219.94,201.52,0,11.0,15,18,0
111.0,14.03,0.97,2.71,0.08,258.05,330.24,0.7983107164506827,111.17,14.81,1.91,4.67,0.21,200.54,221.53,9,7.0,4,7,0
60.6,4.69,10.23,1.51,1.03,59.05,90.52,1.7293062192682933,58.92,5.1,9.77,1.77,0.98,85.81,91.69,0,42.0,10,10,9
28.29,30.2,4.75,1.3,0.48,196.39,153.13,8.740125857217391,34.52,24.07,1.87,4.23,0.18,311.69,342.27,5,5.0,20,13,5
43.33,2.51,3.68,3.04,0.36,280.17,191.49,5.908705441972887,44.35,8.33,6.84,1.88,0.68,177.09,175.32,0,9.0,10,23,0
92.21,14.03,4.84,2.98,0.49,311.34,348.78,3.326093805051208,94.94,15.93,1.69,3.53,0.16,250.09,231.05,9,4.0,10,22,0
66.17,22.96,7.08,0.42,0.71,2.22,9.66,3.9559575326335357,62.57,24.6,0.95,0.88,0.09,97.04,129.02,5,-4.0,10,48,2
73.83,10.3,1.44,2.21,0.15,6.04,340.74,8.180391188690177,66.65,14.22,4.11,1.58,0.4,104.72,116.69,10,0.0,22,36,4
67.47,43.56,4.41,1.91,0.44,128.92,10.96,5.95197446231081,73.09,41.6,6.01,3.42,0.61,288.73,307.04,1,-2.0,10,40,4
75.81,44.62,5.42,1.85,0.55,283.65,344.55,1.547675676619618,76.68,43.34,7.23,1.99,0.72,314.36,338.21,1,3.0,8,38,0
78.59,40.53,2.18,2.55,0.24,236.84,33.33,1.5634896865665557,79.66,39.39,5.94,1.24,0.59,319.61,323.05,2,3.0,5,35,1
83.92,8.58,2.88,1.21,0.29,305.86,24.92,6.201435317730895,77.85,9.85,3.73,2.63,0.4,142.84,139.74,5,4.0,11,30,1
87.48,33.44,8.42,1.11,0.85,316.83,9.54,2.1145448682872563,88.71,31.72,9.62,1.1,0.96,347.77,359.41,2,3.0,6,25,4
93.64,35.49,6.12,2.41,0.62,324.23,359.82,7.834092161827055,101.43,36.32,6.04,3.51,0.59,298.47,320.18,2,2.0,10,18,11
75.92,15.61,3.22,2.04,0.33,323.34,174.51,3.583531777450841,79.08,17.3,1.11,5.73,0.1,268.08,194.82,2,-5.0,10,39,11
65.77,31.0,4.73,1.56,0.48,188.72,81.42,2.7574807342935315,65.46,28.26,7.28,1.33,0.72,29.25,33.26,3,5.0,10,49,11
95.15,45.03,7.34,1.94,0.75,253.94,4.48,4.135915859879165,99.18,45.96,7.79,3.57,0.78,316.76,312.78,1,18.0,10,33,1
72.73,16.04,1.76,2.24,0.17,43.92,26.69,1.6954350474140853,71.09,15.61,5.7,2.76,0.56,62.01,64.23,8,12.0,9,26,0
80.37,10.33,2.51,0.88,0.26,6.27,348.42,2.8017851452243905,77.71,9.45,3.81,3.42,0.36,65.08,62.36,10,7.0,25,23,3
34.17,46.21,6.98,0.92,0.7,307.94,1.45,1.114854250563724,34.62,45.19,7.74,0.86,0.77,6.16,3.47,0,4.0,10,20,2
44.1,38.91,6.72,1.55,0.67,164.65,92.04,3.264751139060986,41.41,37.06,6.8,1.1,0.69,12.01,27.17,1,9.0,4,26,4
74.64,12.2,9.06,2.01,0.94,213.71,174.26,2.349404179786866,74.43,14.54,8.46,1.02,0.84,163.29,165.25,0,13.0,10,48,0
86.02,21.77,1.89,5.22,0.22,303.33,176.33,6.449162736355789,92.23,20.03,2.42,4.38,0.22,266.52,239.15,3,3.0,12,27,6
78.96,33.44,3.31,3.94,0.31,211.85,268.58,2.146462205583879,78.43,35.52,4.05,1.4,0.43,177.17,188.33,0,5.0,10,25,4
73.11,32.7,6.39,0.91,0.65,8.74,2.42,6.23176539994888,78.61,29.77,2.78,1.46,0.28,346.84,7.97,3,3.0,1,34,-3
71.61,42.06,6.53,3.19,0.65,9.86,54.52,0.9654014708917712,70.67,41.84,7.38,4.88,0.76,83.42,51.58,0,27.0,10,33,2
116.83,3.47,4.37,3.63,0.45,185.05,140.81,4.390899680020031,114.63,7.27,2.76,1.12,0.28,181.61,130.35,0,16.0,10,16,0
69.37,26.87,2.77,3.02,0.28,164.81,192.21,1.141271221051333,68.37,26.32,3.2,3.32,0.32,72.28,56.7,4,15.0,9,26,0
43.92,25.42,2.36,2.25,0.22,127.27,263.12,1.5851813776347454,45.3,24.64,4.67,3.23,0.48,244.45,174.36,5,9.0,10,43,3
25.96,4.74,4.12,3.22,0.43,109.63,189.72,1.0154801819828874,25.42,5.6,7.45,2.48,0.75,108.94,172.37,0,15.0,10,31,0
23.05,6.48,6.48,3.65,0.65,199.33,214.19,7.76825591751456,26.48,13.45,5.64,3.38,0.55,224.21,212.42,1,2.0,10,16,14
59.75,17.68,1.45,3.77,0.13,20.51,81.74,5.2937888133169855,64.76,19.39,3.73,3.29,0.37,236.16,171.53,6,-2.0,8,48,4
97.56,15.54,7.34,1.43,0.74,144.49,185.88,8.636723915930162,90.17,20.01,7.59,1.76,0.75,183.62,184.68,0,-3.0,10,15,12
61.73,40.73,3.29,3.63,0.33,4.26,21.6,2.3006303484045403,59.48,40.25,6.38,5.09,0.64,66.5,40.93,2,17.0,10,35,7
72.0,15.81,3.98,2.66,0.37,270.3,205.38,0.7316419889536129,72.72,15.68,6.0,2.63,0.61,257.37,234.1,1,3.0,10,41,0
53.64,31.84,1.5,4.92,0.12,225.3,172.9,3.6686918649567732,55.57,34.96,2.84,4.39,0.27,215.25,195.74,4,1.0,2,43,0
70.95,25.46,2.24,2.91,0.23,227.52,162.33,5.582705437330545,76.4,26.67,3.23,3.63,0.3,248.49,221.25,4,3.0,10,42,6
71.79,12.94,2.44,2.46,0.23,204.8,186.2,2.3380761322078407,73.08,10.99,5.2,0.92,0.51,325.82,313.35,1,5.0,23,43,0
86.66,33.48,4.74,1.07,0.47,316.12,341.54,2.800303554974002,89.45,33.24,2.01,5.23,0.18,239.82,265.99,5,-2.0,10,25,12
65.74,49.74,5.66,3.79,0.57,68.22,341.28,1.0720074626605887,65.48,48.7,6.42,0.96,0.65,348.5,1.76,0,2.0,10,42,2
80.25,7.14,6.66,1.75,0.67,26.84,182.36,3.5886069720714726,76.95,8.55,7.55,1.81,0.75,146.48,158.48,0,3.0,8,27,1
35.58,29.18,8.0,0.93,0.8,356.97,10.53,4.776955097130387,31.66,31.91,1.97,1.42,0.19,280.59,109.23,6,3.0,7,23,5
47.68,27.99,5.94,1.62,0.59,342.38,356.46,4.6720980297934664,50.37,31.81,2.69,3.28,0.25,237.55,273.92,8,2.0,6,35,0
61.06,36.17,7.11,1.27,0.71,312.48,21.18,1.8752333188166208,59.52,35.1,7.72,1.25,0.78,20.68,32.4,1,14.0,4,37,2
76.93,34.47,6.29,2.67,0.64,264.8,34.68,2.881961137836524,76.29,31.66,7.74,1.03,0.77,348.99,21.36,2,14.0,10,47,2
95.26,17.71,1.29,2.34,0.12,43.66,116.58,6.671146827944952,100.87,21.32,3.83,3.47,0.36,257.23,221.53,5,5.0,13,20,6
74.61,36.49,6.28,1.42,0.63,352.42,199.16,0.5600892785976131,74.62,37.05,6.82,1.7,0.68,151.9,190.48,8,3.0,3,32,1
73.02,15.37,3.22,0.9,0.33,338.92,213.59,7.613179362132481,66.53,11.39,3.31,5.22,0.31,87.58,99.51,3,1.0,10,36,6
60.49,35.99,6.26,1.12,0.63,33.15,339.52,6.345872674423909,65.79,32.5,4.81,3.57,0.49,30.0,40.28,5,-4.0,4,47,7
70.44,50.5,4.09,1.43,0.4,104.16,358.61,3.320993827154759,73.61,49.51,5.44,2.71,0.53,303.27,310.29,0,12.0,10,48,0
79.9,52.55,4.05,1.75,0.43,137.1,331.65,1.9384787850270562,81.14,51.06,7.73,2.04,0.77,307.04,321.72,0,17.0,17,47,0
92.34,15.7,3.93,4.01,0.4,264.52,38.29,2.698981289301571,94.13,13.68,4.7,2.77,0.47,314.77,1.47,6,6.0,15,24,5
73.41,17.82,5.41,1.77,0.56,10.47,308.29,2.296519105080559,75.33,16.56,8.19,2.6,0.82,317.52,307.68,4,19.0,26,18,5
28.16,27.88,5.04,2.52,0.5,344.05,28.69,2.410082986123092,30.57,27.86,2.44,1.05,0.25,275.37,17.87,6,-2.0,10,20,6
42.25,49.89,7.93,1.24,0.8,238.46,356.16,1.1742657280190052,42.35,48.72,8.34,0.99,0.84,1.72,351.36,0,5.0,3,27,0
43.89,6.69,7.71,1.17,0.78,253.57,177.56,3.294738229359047,46.97,7.86,7.83,3.01,0.78,191.81,189.13,0,5.0,13,29,1
82.08,33.02,8.23,2.08,0.83,28.33,351.9,1.6037767924496222,81.23,31.66,8.24,1.28,0.83,338.42,356.98,2,2.0,10,26,7
59.86,39.25,3.72,3.14,0.37,96.66,95.95,2.2147234590350076,57.67,39.58,6.21,1.36,0.61,98.96,91.06,6,7.0,6,43,-1
55.45,33.73,4.91,3.35,0.51,126.41,346.14,3.969307244343781,52.18,35.98,3.99,3.96,0.38,113.17,84.24,3,5.0,10,49,2
20.59,50.56,7.13,2.19,0.72,160.7,266.12,0.5700877125495721,20.94,50.11,6.98,2.31,0.71,241.42,269.87,1,34.0,3,44,10
